Id,PostId,Score,Text,CreationDate,UserId,UserDisplayName
1,3,5,"Could be a poster child fo argumentative and subjective.  At the least, need to define 'valuable'.","2010-07-19 19:15:52",13,NULL
2,5,0,"Yes, R is nice- but WHY is it 'valuable'.","2010-07-19 19:16:14",13,NULL
3,9,0,"Again- why?  How would I convince my boss to use this over, say, Excel.","2010-07-19 19:18:54",13,NULL
4,5,11,"It's mature, well supported, and a standard within certain scientific communities (popular in our AI department, for example)","2010-07-19 19:19:56",37,NULL
5,3,1,"Define "valuable"...","2010-07-19 19:20:28",5,NULL
6,14,9,"why ask the question here?  All are community-wiki, why not just fix the canonical answer?","2010-07-19 19:22:27",23,NULL
7,18,1,"also the US census data http://www.census.gov/main/www/access.html","2010-07-19 19:25:47",36,NULL
9,16,0,"Andrew Gelman has a nice R library that links Bugs to R.","2010-07-19 19:30:24",78,NULL
10,23,4,"I am not sure I understand the difficulty. If the functional form is known just take the derivative otherwise take differences. Am I missing something here?","2010-07-19 19:31:18",NULL,user28
11,43,5,"There are many R GUI's available for Windows, so I'm not following your point.","2010-07-19 19:34:20",5,NULL
12,38,0,"That's just an example - it might have a median that is much smaller, on the order of 200 (it depends on how I partition the data). That would preclude using a normal distribution, right?","2010-07-19 19:37:33",54,NULL
13,20,2,"What levels of kurtosis and skewdness are acceptable to meet the assumption of normality?","2010-07-19 19:38:01",24,NULL
14,46,6,"this is an incredibly unclear response. Please try to write in English.","2010-07-19 19:38:30",74,NULL
15,3,2,"Maybe the focus shouldn't be on "valuable" but rather "pros" and "cons" of each project?","2010-07-19 19:44:47",24,NULL
16,8,2,"Probably better asked on meta.  People feel like they have to downvote it because it is an off-topic question.  But then the downvotes make it look like staticians have no sense of humor :(","2010-07-19 19:46:19",13,NULL
18,36,10,http://xkcd.com/552/,"2010-07-19 19:48:32",68,NULL
19,8,0,"@Jason Punyon in particular gets a humorless downvote for removing my "verboten" tag! ;-)","2010-07-19 19:50:40",6,NULL
20,54,3,"I am not sure if characterizing one or the other as the 'wrong' formula is the way to understand the issue. It is just that the second one is 'better' in in the sense that it is an unbiased estimator of the true standard deviation. So, if you care about unbiased estimates then the second one is 'better'/'correct'.","2010-07-19 19:51:06",NULL,user28
21,77,1,"I like the first example you give. That will certainly get the students talking ;)","2010-07-19 19:56:18",8,NULL
22,56,1,"I like the analogy. I would find it very useful if there were a defined question (based on a dataset) in which an answer was derived using frequentist reasoning and an answer was derived using Bayesian - preferably with R script to handle both reasonings. Am I asking too much?","2010-07-19 19:56:21",104,NULL
23,57,3,"-1 for wikipedia cut and paste","2010-07-19 19:56:28",74,NULL
24,73,0,"Very subjective question: this question cannot be answered, and is not suitable for a QA site.","2010-07-19 19:58:20",107,NULL
25,76,1,"+1 for ggplot2 - by far best graphs you can get","2010-07-19 19:59:04",22,NULL
27,77,0,"There's an interesting discussion by Steve Steinberg on his blog here: http://blog.steinberg.org/?p=11 about some of the implications of 1 and where it might lead in terms of Weak AI.","2010-07-19 20:01:15",55,NULL
28,57,5,"@el chief: On Stackexchange sites, it is allowed to copy and paste answers from other resources. I give the source link along with the answers. It's pointless to give -1 to a right answer. See meta for what is allowed here and what is not; and a big -1 from me to your behavior!","2010-07-19 20:02:25",69,NULL
29,79,0,"I wasn't suggesting it was, I was just curious as to why such a difference might have arisen, what sort of level of error following the wrong advice might give and whether there was a decent explanation of the difference I could give to my students.","2010-07-19 20:03:30",55,NULL
30,57,3,"Wikipedia cut and paste doesn't bother me when cited, as it is  here [is it compatible with the cc-sa license?]. However, these explanations are complicated for a beginner","2010-07-19 20:03:31",87,NULL
31,54,0,"I was characterising the formula as "wrong" purely in the sense that in an exam if you use the formula which isn't proscribed by the syllabus you'll end up with the "wrong" answer. Plus if the values are not a sample of population per se then surely the first formula gives the more accurate value.","2010-07-19 20:05:22",55,NULL
32,73,2,"Should probably be community wiki; useful question here but doesn't have definitive answer.","2010-07-19 20:05:57",5,NULL
