Id,CreationDate,PostId,RelatedPostId,LinkTypeId
108,"2010-07-21 14:47:33",395,173,1
145,"2010-07-23 16:30:41",548,539,1
217,"2010-07-26 20:12:15",375,30,1
263,"2010-07-27 16:00:22",769,31,1
264,"2010-07-27 16:00:22",769,6,1
272,"2010-07-27 17:19:27",790,298,1
281,"2010-07-27 23:22:51",715,7,1
338,"2010-07-28 19:36:09",834,577,1
360,"2010-07-29 19:01:22",614,170,1
478,"2010-08-01 12:08:34",222,213,1
479,"2010-08-01 12:08:34",222,146,1
558,"2010-08-04 11:21:07",886,6,1
559,"2010-08-04 11:21:07",886,372,1
583,"2010-08-04 15:57:30",1205,856,1
587,"2010-08-04 22:37:49",1194,6,1
661,"2010-08-09 10:49:46",1289,53,1
668,"2010-08-09 12:45:05",1437,1289,1
681,"2010-08-10 01:27:11",1385,1268,1
716,"2010-08-11 14:06:20",1501,7,1
717,"2010-08-11 14:06:20",1501,973,1
726,"2010-08-11 14:59:38",1207,1142,1
737,"2010-08-11 18:57:07",1536,1052,1
740,"2010-08-11 20:39:16",1521,6,1
754,"2010-08-12 07:09:59",1413,1583,1
776,"2010-08-12 15:18:28",1583,1412,1
781,"2010-08-12 18:12:39",1272,47,1
831,"2010-08-13 11:42:08",672,22,1
836,"2010-08-13 17:42:32",1601,1444,1
837,"2010-08-13 17:42:32",1601,1386,1
855,"2010-08-14 23:07:11",1580,1149,1
875,"2010-08-16 18:27:32",1749,1123,1
880,"2010-08-17 05:27:03",396,257,1
895,"2010-08-17 21:28:16",1780,124,1
901,"2010-08-18 12:41:14",887,841,1
909,"2010-08-18 16:19:04",1813,575,1
914,"2010-08-18 21:49:36",1454,899,1
939,"2010-08-21 18:18:12",1352,1815,1
955,"2010-08-22 14:07:19",1955,1645,1
1006,"2010-08-25 06:02:31",924,920,1
1068,"2010-08-26 15:40:23",2093,1687,1
1069,"2010-08-26 15:40:23",2093,1112,1
1073,"2010-08-27 06:56:54",2149,1709,1
1082,"2010-08-27 10:41:43",2086,1961,1
1083,"2010-08-27 10:41:43",2086,539,1
1095,"2010-08-27 15:15:50",2154,1228,1
1131,"2010-08-29 12:04:51",490,880,1
1134,"2010-08-29 17:15:22",2140,1169,1
1135,"2010-08-29 19:18:56",2067,2024,1
1140,"2010-08-30 13:44:51",354,118,1
1143,"2010-08-30 15:02:01",145,7,1
1153,"2010-08-31 14:23:30",2171,224,1
1154,"2010-08-31 14:23:30",2171,216,1
1156,"2010-08-31 17:12:55",2223,1963,1
1169,"2010-09-01 11:31:31",1676,73,1
1210,"2010-09-01 17:15:29",2282,1676,1
1211,"2010-09-01 17:15:29",2282,2269,1
1224,"2010-09-02 07:13:57",880,490,1
1283,"2010-09-06 11:41:43",2401,2374,1
1307,"2010-09-06 18:57:27",2385,1289,1
8809,"2010-09-07 22:20:44",2410,1292,1
10783,"2010-09-08 06:40:30",2423,414,1
17469,"2010-09-10 10:48:47",26,118,1
18942,"2010-09-10 19:50:39",652,421,1
22399,"2010-09-12 15:48:10",2476,369,1
23659,"2010-09-13 09:18:19",2597,183,1
26940,"2010-09-14 14:13:03",1223,1142,1
28839,"2010-09-15 16:53:28",1799,859,1
28840,"2010-09-15 16:53:28",1799,1324,1
29591,"2010-09-15 22:20:18",1995,1799,1
30954,"2010-09-16 12:31:55",2670,665,1
31174,"2010-09-16 14:17:36",1460,1444,1
32441,"2010-09-16 23:06:06",1016,577,1
33045,"2010-09-17 06:40:34",2742,1812,1
34666,"2010-09-17 21:30:52",2602,2516,1
34884,"2010-09-18 02:43:41",1761,485,1
35150,"2010-09-18 08:21:24",2245,534,1
36817,"2010-09-19 09:28:15",2787,276,1
36818,"2010-09-19 09:28:15",2787,166,1
36867,"2010-09-19 09:34:20",1815,1352,1
36868,"2010-09-19 09:34:20",1815,2770,1
38448,"2010-09-19 23:57:17",2248,203,1
38449,"2010-09-19 23:57:17",2248,10,1
38533,"2010-09-20 00:29:57",195,411,1
38800,"2010-09-20 04:14:54",2615,2572,1
39025,"2010-09-20 07:19:51",2846,2597,1
41963,"2010-09-21 09:22:29",2894,1807,1
42256,"2010-09-21 12:01:49",2892,2860,1
42257,"2010-09-21 12:01:49",2892,2572,1
45213,"2010-09-22 19:57:07",2938,2918,1
46450,"2010-09-23 14:00:53",485,414,1
46451,"2010-09-23 14:00:53",485,1761,1
48587,"2010-09-24 20:03:19",3061,3062,1
48709,"2010-09-24 22:08:31",2828,1826,1
49737,"2010-09-26 04:18:22",1001,411,1
51512,"2010-09-27 09:27:46",3091,1995,1
51513,"2010-09-27 09:27:46",3091,2628,1
54696,"2010-09-29 04:14:33",3100,2966,1
56446,"2010-09-30 10:00:33",3167,257,1
56522,"2010-09-30 11:01:26",3156,2639,1
59018,"2010-10-01 06:50:47",3201,1848,1
59019,"2010-10-01 06:50:47",3201,2689,1
59020,"2010-10-01 06:50:47",3201,1,1
59021,"2010-10-01 06:50:47",3201,2563,1
60212,"2010-10-01 23:13:10",3038,305,1
60213,"2010-10-01 23:13:10",3038,726,1
60286,"2010-10-02 00:22:45",3207,2917,1
60919,"2010-10-02 17:02:16",534,36,1
62187,"2010-10-03 16:58:24",3276,2957,1
63529,"2010-10-04 17:03:03",3286,1001,1
64695,"2010-10-05 10:46:46",3270,3287,1
65209,"2010-10-05 15:27:47",3338,3286,1
65383,"2010-10-05 18:08:48",1904,1906,1
65866,"2010-10-05 23:09:37",2291,369,1
66354,"2010-10-06 14:00:18",3359,2066,1
66575,"2010-10-06 17:05:16",203,10,1
67211,"2010-10-07 01:33:23",3238,2777,1
67212,"2010-10-07 01:33:23",3238,3331,1
67552,"2010-10-07 08:27:38",3244,2956,1
67842,"2010-10-07 11:40:47",2910,2768,1
68036,"2010-10-07 14:21:18",3369,1576,1
68037,"2010-10-07 14:21:18",3369,2742,1
68038,"2010-10-07 14:21:18",3369,612,1
68409,"2010-10-07 17:42:22",3200,1016,1
68410,"2010-10-07 17:42:22",3200,3252,1
68438,"2010-10-07 17:48:50",3331,2777,1
68439,"2010-10-07 17:48:50",3331,3238,1
68816,"2010-10-07 22:07:29",3333,2483,1
69573,"2010-10-08 13:04:25",3392,3244,1
69793,"2010-10-08 16:25:56",3287,3270,1
70012,"2010-10-08 20:11:54",3395,3199,1
70711,"2010-10-09 14:21:03",346,3372,1
71072,"2010-10-09 19:06:14",134,3372,1
71553,"2010-10-10 06:27:50",138,75,1
72473,"2010-10-10 19:36:49",2197,1385,1
74418,"2010-10-12 09:49:10",3460,1980,1
74639,"2010-10-12 13:03:05",3458,2306,1
74640,"2010-10-12 13:03:05",3458,2410,1
74930,"2010-10-12 16:05:37",1062,1045,1
76682,"2010-10-13 14:20:45",3526,1133,1
78440,"2010-10-14 09:00:32",1441,1430,1
79545,"2010-10-14 19:09:39",3599,3561,1
80174,"2010-10-15 06:16:17",3586,359,1
80535,"2010-10-15 12:27:40",3549,3561,1
80633,"2010-10-15 14:41:18",3589,328,1
80923,"2010-10-15 16:34:25",3383,2067,1
81335,"2010-10-15 19:15:43",3324,563,1
81650,"2010-10-15 20:56:50",1610,22,1
82884,"2010-10-17 07:46:22",3542,3158,1
83998,"2010-10-18 07:17:51",3661,1015,1
83999,"2010-10-18 07:17:51",3661,527,1
85270,"2010-10-18 21:01:49",3685,2597,1
86097,"2010-10-19 06:44:37",1224,499,1
86853,"2010-10-19 12:15:32",973,7,1
86903,"2010-10-19 12:39:51",3194,30,1
87342,"2010-10-19 15:02:42",3713,3685,1
87463,"2010-10-19 15:38:38",499,3200,1
87464,"2010-10-19 15:38:38",499,3252,1
87465,"2010-10-19 15:39:26",3101,685,1
88210,"2010-10-19 20:11:33",3746,213,1
88211,"2010-10-19 20:11:33",3746,2493,1
89036,"2010-10-20 07:14:44",1015,3661,1
89037,"2010-10-20 07:14:44",1015,3539,1
90125,"2010-10-20 15:51:18",3752,3556,1
90394,"2010-10-20 17:34:06",3762,1015,1
91229,"2010-10-20 22:08:02",3810,539,1
91230,"2010-10-20 22:08:02",3810,548,1
91231,"2010-10-20 22:08:24",3704,3653,1
92603,"2010-10-21 13:06:39",3463,3115,1
92604,"2010-10-21 13:06:39",3463,1881,1
92726,"2010-10-21 14:19:36",3556,3752,1
92801,"2010-10-21 15:08:19",3845,3708,1
94250,"2010-10-22 07:59:16",3822,3672,1
95316,"2010-10-22 16:08:30",3069,1595,1
95485,"2010-10-22 17:04:53",3814,3460,1
95486,"2010-10-22 17:04:53",3814,499,1
95584,"2010-10-22 18:08:58",3879,3842,1
96141,"2010-10-23 01:35:01",1337,423,1
96168,"2010-10-23 02:40:22",3818,206,1
97223,"2010-10-23 21:20:45",3734,643,1
97538,"2010-10-24 05:13:12",3911,1611,1
98127,"2010-10-24 15:40:58",3926,575,1
98128,"2010-10-24 15:40:58",3926,1266,1
98157,"2010-10-24 15:57:33",3943,3730,1
98752,"2010-10-24 23:15:48",3958,3,1
98753,"2010-10-24 23:15:48",3958,73,1
98754,"2010-10-24 23:15:48",3958,1676,1
100255,"2010-10-26 06:40:40",2032,652,1
100497,"2010-10-26 09:16:23",1576,612,1
100498,"2010-10-26 09:16:23",1576,2742,1
100499,"2010-10-26 09:16:23",1576,3369,1
101352,"2010-10-26 16:52:18",3893,3252,1
101476,"2010-10-26 18:29:36",3907,3611,1
101669,"2010-10-26 20:57:01",3999,2691,1
101936,"2010-10-27 07:47:44",4013,665,1
