Id,TagName,Count,ExcerptPostId,WikiPostId
1,bayesian,1342,20258,20257
2,prior,168,62158,62157
3,elicitation,6,NULL,NULL
4,normality,191,67815,67814
5,open-source,13,NULL,NULL
6,distributions,1880,8046,8045
9,machine-learning,2564,9066,9065
10,dataset,514,20490,20489
11,sample,219,28276,28275
12,population,120,69287,69286
15,measurement,97,66319,66318
16,scales,157,NULL,NULL
17,interpolation,75,64387,64386
18,multivariable,30,NULL,NULL
21,anova,1333,9251,9250
23,census,23,63450,63449
26,frequentist,75,87156,87155
27,pdf,310,40526,40525
28,cdf,127,40912,40911
30,time-series,2737,3017,3016
33,standard-deviation,437,28218,28217
37,algorithms,292,21863,21862
38,hypothesis-testing,2000,3019,3018
39,p-value,487,28336,28335
41,r,7244,2331,2254
44,poisson,490,28212,28211
46,overdispersion,41,67696,67695
47,correlation,1585,8556,8555
48,teaching,75,NULL,NULL
50,logit,169,28194,28193
52,transportation,3,NULL,NULL
54,data-visualization,982,20484,20483
55,clustering,1111,3015,3014
58,pattern-recognition,143,68772,68771
59,random-variable,316,33480,33479
60,error,236,63555,63554
62,neural-networks,535,50760,50759
67,statistical-bias,7,NULL,NULL
72,nonparametric,559,20492,20491
74,forecasting,608,3190,3189
75,garch,117,62398,62397
76,volatility-forecasting,21,NULL,NULL
77,ordinal,304,38335,38334
78,summary-statistics,197,26936,26935
79,signal-processing,98,38369,38368
82,blog,3,NULL,NULL
85,multiple-comparisons,457,9286,9285
86,power,165,28979,28978
87,methodology,83,90673,90672
88,theory,71,NULL,NULL
89,definition,55,NULL,NULL
93,k-nearest-neighbour,105,68858,68857
94,classification,1338,20262,20261
102,library,14,NULL,NULL
109,pca,774,8579,8578
110,scores,53,NULL,NULL
111,regression,5413,8172,8171
113,mcmc,317,28332,28331
117,polling,17,NULL,NULL
118,kde,37,21498,21497
119,kernel,219,65955,65954
120,count-data,171,38519,38518
121,epidemiology,135,26618,26617
122,outliers,307,33482,33481
124,seasonality,98,79731,79730
125,contingency-tables,126,62173,62172
126,categorical-data,838,28210,28209
127,data-mining,668,19424,19423
128,fitting,189,NULL,NULL
129,t-test,681,26938,26937
130,interval,50,NULL,NULL
131,generalized-linear-model,756,18402,18401
132,discrete-data,152,28977,28976
133,continuous-data,148,63580,63579
135,statistical-significance,1362,20260,20259
136,protovis,2,80769,80768
138,minimum,32,80431,80430
141,online,60,22100,22099
143,maximum,41,80472,80471
144,finance,124,64646,64645
147,variance,766,18602,18601
148,boosting,97,67588,67587
150,csv-file,6,66066,66065
152,application,32,NULL,NULL
157,random-effects-model,277,35289,35288
158,sample-size,420,50757,50756
159,estimation,885,20488,20487
160,least-squares,408,28226,28225
161,maximum-likelihood,586,28329,28328
162,spatial,229,64717,64716
169,method-of-moments,36,62698,62697
170,beta-binomial,29,63188,63187
171,logarithm,77,NULL,NULL
173,homogeneity,17,NULL,NULL
176,binomial,489,8944,8943
177,disease,7,NULL,NULL
179,entropy,135,68821,68820
182,unbalanced-classes,104,87259,87258
183,median,122,32759,32758
186,code,37,NULL,NULL
188,probability,2081,20256,20255
194,proof,106,NULL,NULL
196,information-retrieval,60,NULL,NULL
197,monitoring,3,NULL,NULL
198,best-practices,53,NULL,NULL
200,mean,439,31779,31778
201,uncertainty,72,68576,68575
203,science,8,66382,66381
204,humor,4,NULL,NULL
206,bootstrap,448,28220,28219
207,robust,160,79721,79720
210,text-mining,252,28334,28333
211,mathematics,47,NULL,NULL
213,mathematical-statistics,911,33251,33250
215,aic,205,21859,21858
216,sas,331,19816,19815
217,pc-sas,3,NULL,NULL
218,feature-selection,452,33486,33485
219,cross-validation,614,28325,28324
220,equivalence,41,50292,50291
221,data-transformation,568,14288,14287
222,optimal-scaling,17,NULL,NULL
223,loss-functions,61,112518,112517
225,model-comparison,89,70908,70907
229,sem,185,16297,16296
231,econometrics,463,7381,7380
233,post-hoc,150,38878,38877
234,sphericity,19,76632,76631
235,within-subjects,16,NULL,NULL
236,bic,62,40843,40842
237,model-selection,504,3013,3012
240,e-m,5,18561,18560
241,intuition,71,NULL,NULL
243,svm,667,10765,10764
246,spss,836,6137,6136
249,randomness,59,NULL,NULL
250,software,128,63474,63473
251,image-processing,98,43068,43067
255,random-forest,388,63363,63362
256,factor-analysis,369,31983,31982
257,binary-data,184,32804,32803
260,censoring,78,66323,66322
262,search-theory,8,NULL,NULL
263,mixed-model,872,2417,2416
270,real-time,16,NULL,NULL
272,uniform,131,28273,28272
274,reliability,177,65033,65032
275,confidence-interval,939,18573,18572
276,credible-interval,26,NULL,NULL
278,mutual-information,81,NULL,NULL
280,degrees-of-freedom,103,65151,65150
281,multidimensional-scaling,76,38823,38822
283,chi-squared,602,20494,20493
284,multicollinearity,210,61833,61832
288,predictive-models,590,28216,28215
289,pareto-distribution,41,79440,79439
290,data-imputation,127,28270,28269
291,control-chart,23,NULL,NULL
294,roc,175,41309,41308
295,efficiency,20,20541,20540
296,likelihood-function,81,65149,65148
297,data-generating-process,9,NULL,NULL
299,permutation,125,61383,61382
300,combination,49,NULL,NULL
303,bioinformatics,73,62078,62077
304,careers,22,113470,113469
305,repeated-measures,786,21857,21856
306,parametric,81,NULL,NULL
307,stata,460,4037,4036
308,games,59,61388,61387
309,directional-statistics,21,73482,73481
310,moments,102,51631,51630
312,variability,25,NULL,NULL
313,link-function,32,37603,37602
319,stochastic-processes,246,65294,65293
320,wavelet,32,NULL,NULL
321,modeling,624,20264,20263
322,books,174,13030,13029
323,lasso,225,28900,28899
325,ridge-regression,113,79473,79472
328,odds-ratio,101,28305,28304
329,validation,136,64824,64823
332,funnel-plot,12,NULL,NULL
333,java,58,64391,64390
334,relative-risk,32,46725,46724
336,order-statistics,79,59373,59372
337,conditional-probability,385,63459,63458
338,predictor,93,32514,32513
340,python,386,8577,8576
341,compression,13,NULL,NULL
342,kullback-leibler,72,NULL,NULL
345,type-i-errors,48,65560,65559
346,type-ii-errors,18,65571,65570
347,terminology,224,65622,65621
348,smoothing,110,NULL,NULL
349,splines,81,65155,65154
351,z-statistic,23,NULL,NULL
353,small-sample,149,48003,48002
354,intraclass-correlation,75,67822,67821
355,aggregation,56,28280,28279
356,interpretation,441,28453,28452
357,effect-size,177,65139,65138
358,dynamic-regression,26,9861,9860
359,standard-error,350,28667,28666
361,negative-binomial,157,28266,28265
362,computational-statistics,175,69060,69059
363,computing,28,NULL,NULL
364,engineering-statistics,3,NULL,NULL
368,latex,11,80690,80689
369,plyr,2,80679,80678
373,networks,70,NULL,NULL
377,variance-covariance,120,63410,63409
378,matlab,581,17765,17764
379,experiment-design,412,50711,50710
380,genetic-algorithms,53,NULL,NULL
383,survival,520,33253,33252
384,hazard,67,47335,47334
386,power-analysis,211,28927,28926
387,gui,3,65823,65822
388,learning,58,NULL,NULL
389,point-process,42,NULL,NULL
390,cross-correlation,80,NULL,NULL
391,cohens-d,32,40915,40914
393,conferences,5,NULL,NULL
394,scale-invariance,13,NULL,NULL
396,partitioning,46,NULL,NULL
397,asymptotics,92,69301,69300
398,psychometrics,150,2601,2600
399,psychology,42,65742,65741
401,proportion,245,63404,63403
402,igraph,10,16367,16366
403,normalization,244,14282,14281
405,markov-process,210,28902,28901
406,association-measure,50,NULL,NULL
407,ordered-variables,30,NULL,NULL
409,meta-analysis,199,65137,65136
410,reproducible-research,17,NULL,NULL
411,sweave,9,80688,80687
412,journals,9,NULL,NULL
414,goodness-of-fit,289,64377,64376
416,truncation,39,NULL,NULL
419,cointegration,108,69311,69310
420,stationarity,136,62162,62161
421,exponential,142,68063,68062
422,particle-filter,24,NULL,NULL
423,kalman-filter,101,62164,62163
425,multivariate-analysis,636,21883,21882
427,missing-data,342,64221,64220
428,topologies,4,NULL,NULL
429,causal-inference,139,65141,65140
430,sampling,743,14121,14120
436,expected-value,267,28303,28302
437,fraud,12,NULL,NULL
438,metropolis-hastings,68,68977,68976
441,kurtosis,56,66542,66541
442,multinomial,248,28794,28793
443,cart,253,31288,31287
446,loess,27,63087,63086
447,curve-fitting,154,NULL,NULL
448,discontinuity,15,80394,80393
449,monte-carlo,247,15345,15344
451,ancova,174,21867,21866
452,philosophical,33,NULL,NULL
454,central-limit-theorem,123,65147,65146
455,approximation,111,NULL,NULL
