Id,PostId,VoteTypeId,CreationDate,UserId,BountyAmount
1,3,2,2010-07-19,NULL,NULL
2,2,2,2010-07-19,NULL,NULL
3,5,2,2010-07-19,NULL,NULL
4,5,2,2010-07-19,NULL,NULL
5,3,2,2010-07-19,NULL,NULL
6,4,2,2010-07-19,NULL,NULL
7,2,2,2010-07-19,NULL,NULL
10,3,2,2010-07-19,NULL,NULL
11,5,2,2010-07-19,NULL,NULL
12,6,2,2010-07-19,NULL,NULL
13,6,5,2010-07-19,58,NULL
14,10,2,2010-07-19,NULL,NULL
15,5,2,2010-07-19,NULL,NULL
16,2,2,2010-07-19,NULL,NULL
17,6,2,2010-07-19,NULL,NULL
19,6,5,2010-07-19,6,NULL
20,1,2,2010-07-19,NULL,NULL
21,3,2,2010-07-19,NULL,NULL
22,5,2,2010-07-19,NULL,NULL
23,9,2,2010-07-19,NULL,NULL
24,14,2,2010-07-19,NULL,NULL
25,16,2,2010-07-19,NULL,NULL
26,13,2,2010-07-19,NULL,NULL
27,6,2,2010-07-19,NULL,NULL
28,17,2,2010-07-19,NULL,NULL
29,14,3,2010-07-19,NULL,NULL
30,21,2,2010-07-19,NULL,NULL
31,1,2,2010-07-19,NULL,NULL
32,22,2,2010-07-19,NULL,NULL
33,2,2,2010-07-19,NULL,NULL
34,5,2,2010-07-19,NULL,NULL
35,20,2,2010-07-19,NULL,NULL
36,16,2,2010-07-19,NULL,NULL
37,1,2,2010-07-19,NULL,NULL
38,15,2,2010-07-19,NULL,NULL
39,6,2,2010-07-19,NULL,NULL
40,5,2,2010-07-19,NULL,NULL
41,13,2,2010-07-19,NULL,NULL
42,5,2,2010-07-19,NULL,NULL
43,4,2,2010-07-19,NULL,NULL
44,9,2,2010-07-19,NULL,NULL
45,17,2,2010-07-19,NULL,NULL
46,31,2,2010-07-19,NULL,NULL
47,22,2,2010-07-19,NULL,NULL
48,22,2,2010-07-19,NULL,NULL
49,17,2,2010-07-19,NULL,NULL
50,22,2,2010-07-19,NULL,NULL
51,29,2,2010-07-19,NULL,NULL
52,20,2,2010-07-19,NULL,NULL
53,2,2,2010-07-19,NULL,NULL
54,25,2,2010-07-19,NULL,NULL
55,32,2,2010-07-19,NULL,NULL
56,31,2,2010-07-19,NULL,NULL
57,22,5,2010-07-19,66,NULL
58,26,2,2010-07-19,NULL,NULL
59,1,5,2010-07-19,66,NULL
61,5,2,2010-07-19,NULL,NULL
62,3,2,2010-07-19,NULL,NULL
63,26,2,2010-07-19,NULL,NULL
65,3,2,2010-07-19,NULL,NULL
66,32,2,2010-07-19,NULL,NULL
67,40,2,2010-07-19,NULL,NULL
68,45,2,2010-07-19,NULL,NULL
69,8,3,2010-07-19,NULL,NULL
70,33,2,2010-07-19,NULL,NULL
71,49,2,2010-07-19,NULL,NULL
72,8,3,2010-07-19,NULL,NULL
73,46,3,2010-07-19,NULL,NULL
74,6,2,2010-07-19,NULL,NULL
75,6,5,2010-07-19,71,NULL
76,5,2,2010-07-19,NULL,NULL
77,3,2,2010-07-19,NULL,NULL
78,40,2,2010-07-19,NULL,NULL
79,28,2,2010-07-19,NULL,NULL
81,31,2,2010-07-19,NULL,NULL
82,8,3,2010-07-19,NULL,NULL
84,50,2,2010-07-19,NULL,NULL
85,52,2,2010-07-19,NULL,NULL
86,47,2,2010-07-19,NULL,NULL
87,52,2,2010-07-19,NULL,NULL
88,22,2,2010-07-19,NULL,NULL
89,22,5,2010-07-19,22,NULL
90,53,2,2010-07-19,NULL,NULL
91,59,2,2010-07-19,NULL,NULL
92,50,2,2010-07-19,NULL,NULL
93,56,2,2010-07-19,NULL,NULL
94,45,2,2010-07-19,NULL,NULL
95,36,2,2010-07-19,NULL,NULL
96,63,2,2010-07-19,NULL,NULL
97,44,2,2010-07-19,NULL,NULL
98,63,2,2010-07-19,NULL,NULL
99,36,2,2010-07-19,NULL,NULL
100,65,2,2010-07-19,NULL,NULL
101,66,2,2010-07-19,NULL,NULL
102,69,2,2010-07-19,NULL,NULL
103,48,2,2010-07-19,NULL,NULL
