Id,OwnerUserId,Score,ViewCount,CommentCount
1,8.0,23,1278.0,1
2,24.0,22,8198.0,1
3,18.0,54,3613.0,4
4,23.0,13,5224.0,2
5,23.0,81,,3
6,5.0,152,29229.0,5
7,38.0,76,5808.0,3
8,37.0,0,288.0,2
9,50.0,13,,3
10,24.0,23,21925.0,4
11,34.0,2,224.0,2
12,5.0,20,,1
13,23.0,14,,4
14,36.0,5,,1
15,6.0,13,,0
16,8.0,16,,3
17,,9,1261.0,0
18,36.0,31,,1
19,55.0,12,,0
20,37.0,3,,2
21,59.0,4,184.0,1
22,66.0,102,21916.0,1
23,69.0,10,7694.0,1
24,61.0,17,,0
25,69.0,7,2095.0,4
26,75.0,18,3476.0,14
27,68.0,4,,0
28,,6,,0
29,36.0,5,,0
30,69.0,7,705.0,2
31,13.0,66,175495.0,3
32,5.0,12,,0
33,69.0,5,1428.0,1
34,79.0,3,,0
35,54.0,10,1223.0,0
36,8.0,41,67396.0,7
38,61.0,2,,2
39,59.0,4,210.0,0
40,69.0,8,491.0,1
41,83.0,8,,0
42,80.0,12,,3
43,74.0,7,,5
44,68.0,8,453.0,1
45,55.0,5,,1
46,62.0,0,,2
47,22.0,7,312.0,2
48,36.0,3,,4
49,5.0,6,,0
50,62.0,18,2414.0,4
51,68.0,1,120.0,0
52,36.0,7,,0
53,17.0,40,25962.0,4
54,55.0,11,497.0,5
55,56.0,7,,0
56,,56,,7
57,69.0,2,,4
58,68.0,10,1667.0,0
59,39.0,24,,1
60,41.0,1,,1
61,74.0,22,,5
62,58.0,4,124.0,0
63,87.0,25,,2
64,5.0,6,,0
65,8.0,14,,3
66,41.0,5,,0
67,36.0,2,,0
69,56.0,3,,0
70,22.0,15,,1
71,36.0,2,,0
72,96.0,6,,0
73,22.0,24,5717.0,5
74,88.0,25,,0
75,69.0,5,754.0,4
76,5.0,22,,3
77,74.0,16,,7
78,8.0,33,,4
79,25.0,4,,1
80,93.0,8,,2
81,69.0,7,,0
83,5.0,2,,0
84,41.0,6,,0
85,87.0,15,,2
86,13.0,8,,5
89,55.0,5,,0
90,22.0,3,,0
91,87.0,10,,0
93,61.0,5,412.0,3
94,88.0,5,,0
95,57.0,5,446.0,0
96,5.0,4,,0
97,114.0,35,14608.0,1
98,39.0,10,,0
99,88.0,7,,1
100,117.0,4,3918.0,0
101,,40,,6
102,22.0,1,,0
103,5.0,28,1990.0,6
104,74.0,16,,0
105,46.0,19,,1
107,46.0,11,,0
108,5.0,14,,1
109,25.0,2,3980.0,2
110,61.0,3,,2
111,8.0,8,,3
112,12.0,2,,0
113,39.0,9,413.0,5
114,8.0,30,1220.0,1
115,127.0,1,,0
116,72.0,12,,4
117,36.0,25,,1
118,83.0,122,39118.0,11
119,88.0,6,,3
120,41.0,39,,4
121,61.0,71,,6
123,130.0,13,,0
124,131.0,23,1131.0,0
125,5.0,75,29261.0,2
126,5.0,26,,4
127,61.0,18,,2
128,132.0,3,12626.0,0
129,8.0,4,,0
130,90.0,30,7111.0,10
131,5.0,23,,0
132,22.0,6,,0
133,139.0,0,,2
134,138.0,10,4572.0,6
135,39.0,7,,3
137,74.0,15,,2
138,142.0,67,14326.0,4
139,5.0,21,,2
140,88.0,7,,0
141,142.0,2,,0
142,8.0,5,,0
143,88.0,5,,2
144,22.0,17,,0
145,138.0,4,2287.0,4
146,144.0,12,4419.0,3
147,142.0,4,,0
148,130.0,4,,0
149,74.0,8,,0
150,25.0,3,,1
151,81.0,60,,4
152,,9,1008.0,2
153,145.0,6,,1
154,108.0,20,,3
155,154.0,27,3293.0,2
156,148.0,2,233.0,0
157,36.0,7,,3
159,145.0,8,,0
160,158.0,1,,0
161,154.0,9,2304.0,0
162,74.0,14,,4
163,81.0,5,,6
164,158.0,2,,0
165,74.0,56,22890.0,3
166,154.0,10,12304.0,0
167,159.0,10,,4
168,8.0,17,1022.0,1
169,159.0,2,,0
170,8.0,56,7733.0,1
171,159.0,8,,0
172,74.0,10,,1
173,71.0,15,2519.0,0
174,159.0,35,,0
175,13.0,29,28291.0,1
176,81.0,18,,2
177,159.0,22,,2
178,74.0,9,,0
179,159.0,12,,0
180,90.0,4,,0
181,159.0,50,39097.0,0
182,74.0,16,,0
183,166.0,3,753.0,1
184,159.0,6,,0
185,80.0,10,,2
187,119.0,3,,0
188,61.0,21,,4
189,173.0,4,,2
190,25.0,7,,0
191,173.0,3,,0
192,1356.0,3,1597.0,1
193,,6,,0
194,175.0,6,838.0,2
