Id,Reputation,Views,UpVotes,DownVotes
-1,1,0,5007,1920
2,101,25,3,0
3,101,22,19,0
4,101,11,0,0
5,6792,1145,662,5
6,457,114,47,0
7,429,56,20,0
8,6764,1089,604,25
10,121,20,2,0
11,136,10,10,0
12,101,10,5,0
13,817,178,44,1
15,11,8,0,0
16,101,4,7,0
17,345,14,13,1
18,128,8,16,0
19,101,13,2,0
21,101,6,0,0
22,591,90,693,6
23,308,52,34,1
24,344,48,36,1
25,4968,641,328,23
26,3150,257,138,7
27,101,10,2,0
29,2250,318,28,1
30,2185,312,40,3
33,221,11,2,0
34,185,27,23,0
35,101,4,9,0
36,1570,173,26,1
37,156,2,0,0
38,133,15,1,0
39,1651,255,12,0
40,41,8,2,0
41,611,83,12,0
43,101,1,1,1
46,111,350,59,15
47,1,19,0,0
50,101,3,3,0
51,101,0,1,0
52,861,62,12,0
53,138,8,7,0
54,360,18,21,2
55,366,16,48,1
56,563,64,10,0
57,126,7,93,0
58,123,19,3,0
59,402,82,51,0
60,101,8,1,1
61,1956,147,39,4
62,549,90,13,3
64,136,11,4,0
65,101,8,4,0
66,614,102,12,0
67,101,4,0,0
68,503,42,10,0
69,530,174,630,6
71,1936,328,2317,1
72,800,77,58,0
74,2316,1126,74,65
75,321,44,4,0
76,101,3,9,0
77,260,8,36,0
78,123,4,4,0
79,212,10,5,0
80,211,16,7,0
81,1307,80,86,0
82,685,49,68,0
83,804,64,11,0
84,101,3,10,0
85,176,25,3,0
87,740,89,58,2
88,14082,3320,4235,126
89,1281,105,61,4
90,561,287,27,0
91,101,8,0,0
92,31,5,3,0
93,96,3,2,0
94,111,15,6,0
96,441,80,18,0
98,291,24,141,1
99,151,42,3,0
101,502,49,109,0
102,101,5,4,0
103,261,34,41,1
104,146,26,23,0
105,101,0,0,0
107,160,14,20,3
108,305,171,4,0
110,443,59,9,1
111,101,2,1,0
112,101,0,0,0
113,101,0,0,0
114,708,61,44,1
115,101,8,0,0
116,101,2,9,0
117,123,4,1,0
118,473,60,46,0
119,139,12,0,0
120,101,3,1,0
121,101,4,3,0
122,101,8,0,0
123,101,56,21,0
124,121,8,8,0
125,391,31,0,0
126,101,1,0,0
127,236,46,29,1
128,166,19,22,0
129,101,8,9,0
130,241,24,2,0
131,216,14,6,0
132,33,8,2,0
133,116,6,2,1
134,101,0,1,1
135,101,1,2,0
138,231,24,20,0
139,758,241,41,0
140,1,4,4,0
141,101,0,0,0
142,185,19,10,0
143,101,1,0,0
144,1396,269,477,1
145,99,8,4,0
147,101,1,0,0
148,228,11,12,0
151,101,9,0,0
152,101,1,0,0
153,101,3,0,0
154,321,23,6,0
155,101,1,2,0
156,101,0,0,0
158,111,2,15,0
159,18283,3781,1014,59
160,101,2,0,0
161,101,1,8,0
162,101,2,1,0
163,276,12,1,0
164,101,3,2,0
165,36,2,1,0
166,118,3,7,0
167,101,21,0,0
168,147,61,8,1
169,113,19,5,0
170,208,52,48,1
171,171,9,0,0
172,564,113,15,0
173,453,39,15,0
174,792,78,163,4
175,236,46,53,0
176,101,0,0,0
177,101,0,0,0
178,11,2,8,0
179,1416,147,352,10
180,101,0,0,0
181,101,6,60,0
183,22625,4069,2496,45
184,101,3,3,0
186,101,1,1,0
187,446,69,6,0
188,211,19,2,0
189,205,17,0,0
190,1166,146,482,24
191,313,16,8,0
193,101,0,1,0
194,38,7,4,0
195,101,7,0,0
196,6140,649,497,114
197,138,5,21,1
198,908,42,69,0
199,1815,188,149,3
200,128,24,9,0
202,101,3,0,0
203,101,1,1,0
204,101,0,4,0
206,101,0,2,0
207,101,4,0,0
210,337,47,32,1
211,586,11,0,0
212,101,1,11,1
213,63,9,1,0
214,266,31,29,0
215,2496,384,5,0
216,31,4,0,0
217,522,111,16,1
218,121,9,12,0
219,184,119,2,0
220,248,34,11,0
221,615,77,95,0
222,101,3,3,0
223,4022,1471,345,19
225,101,6,0,0
226,1293,266,55,0
227,226,4,71,0
228,121,4,9,0
229,629,64,65,0
230,1233,106,170,2
232,101,0,4,0
233,101,3,4,0
235,101,5,0,0
236,221,9,8,0
239,101,66,3,0
240,281,31,8,0
241,101,0,0,0
246,101,9,0,1
247,898,104,82,3
248,101,0,1,0
250,131,6,9,0
251,7931,984,819,0
252,315,40,8,0
253,5309,1147,1160,5
254,101,0,3,0
255,195,11,32,0
256,171,6,2,0
257,121,2,2,0
258,101,1,9,0
259,138,6,3,0
260,526,24,2,0
261,442,84,30,2
263,101,4,0,0
264,4701,839,1408,55
266,1272,335,108,1
267,91,17,4,0
268,101,4,1,0
270,229,25,4,0
273,1384,87,17,0
275,101,0,0,0
276,201,17,10,0
277,131,22,1,0
278,101,7,0,0
279,6176,374,578,8
280,101,1,27,0
281,101,1,0,0
282,101,7,2,0
283,118,5,23,0
284,190,10,191,0
285,223,6,3,0
287,847,73,19,0
288,86,3,9,0
290,129,127,8,4
291,251,17,51,0
292,138,13,15,4
293,101,0,0,0
297,103,2,17,0
298,111,6,2,0
300,524,44,223,0
301,155,6,6,1
302,246,36,17,1
303,238,140,1,1
305,118,24,4,0
307,4829,1088,692,3
308,101,3,0,0
310,101,0,0,0
311,101,1,0,0
314,101,1,0,0
315,611,49,2,0
316,101,0,0,0
317,81,24,0,0
319,1994,523,62,0
320,101,0,3,0
322,101,0,0,0
325,101,1,0,0
326,101,5,5,0
327,303,36,0,0
329,101,1,0,0
330,101,1,0,0
333,1233,104,75,4
334,5134,842,58,9
335,101,0,4,0
338,126,2,0,0
339,3039,363,125,0
340,101,4,0,0
344,101,0,0,0
346,101,0,4,0
347,101,0,0,0
350,101,1,2,0
351,101,8,1,0
352,793,99,236,2
353,101,6,2,0
354,101,1,3,0
357,101,0,3,0
358,51,4,12,0
360,101,1,0,0
362,101,0,0,1
364,5442,671,115,2
365,101,1,2,0
366,21,14,0,0
367,111,0,0,0
368,369,18,5,0
369,29,1,0,0
371,101,1,0,0
373,101,1,13,0
374,101,1,0,0
375,529,46,9,0
377,101,2,0,0
