,userId,Reputation,Views,UpVotes,DownVotes,PostTypeId,Score,ViewCount,CommentCount,Outlier
3,5,6792,1145,662,5,2,81,0,3,Reputation
4,6,457,114,47,0,1,152,29229,5,Reputation
5,7,429,56,20,0,1,76,5808,3,Reputation
6,8,6764,1089,604,25,1,0,288,2,Reputation
10,13,817,178,44,1,2,14,0,4,Reputation
13,17,345,14,13,1,1,9,1261,0,Reputation
17,22,591,90,693,6,1,102,21916,1,Reputation
18,23,308,52,34,1,1,10,7694,1,Reputation
19,24,344,48,36,1,2,17,0,0,Reputation
20,25,4968,641,328,23,1,7,2095,4,Reputation
21,26,3150,257,138,7,1,18,3476,14,Reputation
23,29,2250,318,28,1,2,5,0,0,Reputation
24,30,2185,312,40,3,1,7,705,2,Reputation
28,36,1570,173,26,1,1,41,67396,7,Reputation
30,39,1651,255,12,0,1,4,210,0,Reputation
32,41,611,83,12,0,2,8,0,0,Reputation
38,52,861,62,12,0,2,7,0,0,Reputation
40,54,360,18,21,2,1,11,497,5,Reputation
41,55,366,16,48,1,2,7,0,0,Reputation
42,56,563,64,10,0,2,56,0,7,Reputation
45,59,402,82,51,0,2,24,0,1,Reputation
47,61,1956,147,39,4,2,22,0,5,Reputation
48,62,549,90,13,3,1,4,124,0,Reputation
51,66,614,102,12,0,2,5,0,0,Reputation
53,69,530,174,630,6,2,3,0,0,Reputation
54,71,1936,328,2317,1,2,2,0,0,Reputation
55,72,800,77,58,0,2,6,0,0,Reputation
56,74,2316,1126,74,65,2,25,0,0,Reputation
57,75,321,44,4,0,1,5,754,4,Reputation
59,77,260,8,36,0,2,16,0,7,Reputation
63,81,1307,80,86,0,2,7,0,0,Reputation
64,83,804,64,11,0,2,2,0,0,Reputation
67,89,1281,105,61,4,2,5,0,0,Reputation
68,90,561,287,27,0,2,3,0,0,Reputation
72,96,441,80,18,0,2,4,0,0,Reputation
73,98,291,24,141,1,2,10,0,0,Reputation
75,101,502,49,109,0,2,40,0,6,Reputation
77,103,261,34,41,1,1,28,1990,6,Reputation
81,108,305,171,4,0,2,14,0,1,Reputation
82,110,443,59,9,1,2,3,0,2,Reputation
86,114,708,61,44,1,1,30,1220,1,Reputation
90,118,473,60,46,0,1,122,39118,11,Reputation
96,125,391,31,0,0,1,75,29261,2,Reputation
108,139,758,241,41,0,2,21,0,2,Reputation
113,144,1396,269,477,1,2,17,0,0,Reputation
120,154,321,23,6,0,2,20,0,3,Reputation
123,159,18283,3781,1014,59,2,8,0,0,Reputation
127,163,276,12,1,0,2,5,0,6,Reputation
136,172,564,113,15,0,2,10,0,1,Reputation
137,173,453,39,15,0,1,15,2519,0,Reputation
138,174,792,78,163,4,2,35,0,0,Reputation
143,179,1416,147,352,10,2,12,0,0,Reputation
146,183,22625,4069,2496,45,1,3,753,1,Reputation
148,187,446,69,6,0,2,3,0,0,Reputation
151,190,1166,146,482,24,2,7,0,0,Reputation
152,191,313,16,8,0,2,3,0,0,Reputation
156,196,6140,649,497,114,1,19,4090,2,Reputation
158,198,908,42,69,0,2,3,0,0,Reputation
159,199,1815,188,149,3,2,4,0,0,Reputation
166,210,337,47,32,1,2,9,0,3,Reputation
167,211,586,11,0,0,2,6,0,0,Reputation
170,214,266,31,29,0,2,4,0,0,Reputation
171,215,2496,384,5,0,2,1,0,2,Reputation
173,217,522,111,16,1,2,6,0,4,Reputation
177,221,615,77,95,0,2,15,0,2,Reputation
179,223,4022,1471,345,19,1,5,291,5,Reputation
181,226,1293,266,55,0,2,12,0,2,Reputation
184,229,629,64,65,0,2,10,0,2,Reputation
185,230,1233,106,170,2,2,5,0,0,Reputation
189,240,281,31,8,0,2,4,0,1,Reputation
192,247,898,104,82,3,2,2,0,1,Reputation
195,252,315,40,8,0,2,5,0,3,Reputation
196,253,5309,1147,1160,5,2,7,0,0,Reputation
203,260,526,24,2,0,2,12,0,1,Reputation
204,261,442,84,30,2,2,12,0,4,Reputation
206,264,4701,839,1408,55,2,5,0,0,Reputation
207,266,1272,335,108,1,2,3,0,0,Reputation
211,273,1384,87,17,0,2,1,0,0,Reputation
216,279,6176,374,578,8,2,9,0,0,Reputation
223,287,847,73,19,0,1,7,1068,1,Reputation
231,300,524,44,223,0,2,4,0,0,Reputation
236,307,4829,1088,692,3,2,13,0,3,Reputation
241,315,611,49,2,0,2,5,0,0,Reputation
244,319,1994,523,62,0,2,15,0,2,Reputation
248,327,303,36,0,0,2,1,0,0,Reputation
250,333,1233,104,75,4,2,3,0,3,Reputation
252,339,3039,363,125,0,2,1,0,6,Reputation
259,352,793,99,236,2,2,1,0,1,Reputation
269,368,369,18,5,0,2,2,0,2,Reputation
274,375,529,46,9,0,1,7,437,1,Reputation
276,378,316,6,2,0,2,11,0,0,Reputation
283,386,891,185,55,0,2,10,0,5,Reputation
295,401,6906,1070,394,6,2,2,0,0,Reputation
306,419,379,25,7,0,2,4,0,0,Reputation
317,438,2133,272,28,1,2,10,0,1,Reputation
318,439,2031,268,152,1,2,8,0,1,Reputation
321,442,6431,973,857,21,2,7,0,0,Reputation
325,447,1422,173,20,0,2,5,0,0,Reputation
326,449,12813,1089,1607,57,2,1,0,0,Reputation
329,455,378,24,26,0,2,27,0,1,Reputation
345,478,300,29,13,0,2,12,0,4,Reputation
350,485,2908,265,444,11,1,48,4470,3,Reputation
356,493,909,96,87,4,2,3,0,0,Reputation
358,495,2092,272,32,4,2,6,0,1,Reputation
361,501,300,20,9,0,2,3,0,7,Reputation
367,511,1796,516,33,4,2,26,0,0,Reputation
372,520,268,42,9,0,2,2,0,5,Reputation
373,521,2133,205,65,0,2,7,0,0,Reputation
375,523,326,32,10,0,2,4,0,2,Reputation
381,530,599,77,2,0,2,8,0,0,Reputation
383,539,279,31,14,0,1,34,9369,2,Reputation
389,549,286,39,5,0,2,3,0,1,Reputation
393,557,1273,142,58,0,2,33,0,4,Reputation
395,559,485,44,9,0,2,5,0,0,Reputation
397,561,2002,186,155,11,2,12,0,0,Reputation
403,569,307,46,43,0,2,3,0,0,Reputation
405,573,365,40,260,0,1,10,1043,3,Reputation
409,582,2400,293,692,23,2,4,0,1,Reputation
412,588,1034,185,38,0,2,6,0,4,Reputation
422,603,10647,1225,683,49,2,3,0,5,Reputation
426,609,691,113,44,1,2,6,0,2,Reputation
429,614,305,34,7,0,1,22,2267,6,Reputation
430,615,379,51,163,49,2,2,0,3,Reputation
440,634,426,47,8,0,2,7,0,0,Reputation
456,656,2320,203,1273,7,2,61,0,1,Reputation
457,660,286,37,16,3,1,7,510,3,Reputation
459,667,406,56,11,0,2,6,0,2,Reputation
471,686,44152,7357,2156,82,2,8,0,1,Reputation
476,696,2282,182,136,18,2,1,0,0,Reputation
480,702,424,37,34,2,2,2,0,2,Reputation
482,704,577,64,51,0,2,0,0,1,Reputation
512,741,262,20,6,0,2,4,0,1,Reputation
519,749,292,35,6,0,2,11,0,2,Reputation
534,775,436,24,5,0,1,9,1423,0,Reputation
535,776,1895,312,225,1,2,2,0,0,Reputation
537,778,311,36,49,0,2,8,0,1,Reputation
540,781,566,78,9,1,2,3,0,0,Reputation
548,795,5606,967,1547,8,1,-3,728,2,Reputation
556,805,65272,5680,7035,143,1,2,551,0,Reputation
561,812,628,98,215,2,1,6,942,1,Reputation
571,827,262,22,6,0,2,13,0,6,Reputation
